train_size,CNN_standard,CNN_matern,CNN_beta,Transformer_standard,Transformer_matern,Transformer_beta,MLP_standard,MLP_matern,MLP_beta
50.0,0.8195359,0.8196426,-0.45421696,0.8805126950000001,0.8806247300000001,-0.456927808,0.7585591049999999,0.7586604699999999,-0.451506112
150.50505,0.8350416,0.8348759,0.6612598,0.8967936800000001,0.896619695,0.71432279,0.77328952,0.773132105,0.6081968099999999
251.01009,0.8418729,0.84171844,0.77975464,0.9039665450000001,0.903804362,0.8387423720000001,0.779779255,0.7796325179999999,0.720766908
351.51514,0.8463358,0.84644353,0.78196824,0.90865259,0.9087657065000001,0.8410666520000001,0.78401901,0.7841213535,0.7228698279999999
452.0202,0.84963286,0.84987336,0.7620653,0.9121145030000001,0.912367028,0.820168565,0.787151217,0.787379692,0.7039620349999999
552.52527,0.8522262,0.85250545,0.7394673,0.9148375100000001,0.9151307225,0.7964406650000001,0.78961489,0.7898801775,0.682493935
653.0303,0.85434794,0.8546187,0.71892565,0.917065337,0.917349635,0.7748719325,0.791630543,0.7918877649999999,0.6629793675
753.53534,0.8561325,0.8563736,0.7014197,0.918939125,0.91919228,0.756490685,0.793325875,0.7935549199999999,0.6463487149999999
854.0404,0.85766506,0.8578682,0.686861,0.9205483130000001,0.92076161,0.7412040500000001,0.7947818069999999,0.7949747899999999,0.63251795
954.5455,0.8590028,0.85916626,0.6748789,0.92195294,0.9221245730000001,0.728622845,0.7960526599999999,0.7962079469999999,0.6211349549999999
1055.0505,0.8601861,0.86031127,0.6650675,0.923195405,0.9233268335,0.7183208750000001,0.7971767949999999,0.7972957064999999,0.611814125
1155.5555,0.86124414,0.86133397,0.6570592,0.9243063470000001,0.9244006685,0.70991216,0.798181933,0.7982672715,0.6042062399999999
1256.0605,0.86219895,0.8622568,0.65054286,0.9253088975000001,0.9253696400000001,0.703070003,0.7990890024999999,0.79914396,0.5980157169999999
1356.5657,0.8630675,0.8630967,0.6452613,0.926220875,0.9262515350000001,0.697524365,0.7999141249999999,0.799941865,0.592998235
1457.0707,0.8638629,0.86386687,0.6410042,0.927056045,0.9270602135,0.6930544100000001,0.8006697549999999,0.8006735264999999,0.5889539899999999
1557.5758,0.86459565,0.86457723,0.63760006,0.9278254325000002,0.9278060915,0.6894800630000001,0.8013658674999999,0.8013483684999999,0.585720057
1658.0808,0.8652742,0.8652363,0.6349086,0.9285379100000001,0.928498115,0.6866540300000001,0.8020104899999999,0.8019744849999999,0.58316317
1758.5858,0.8659055,0.86585045,0.632815,0.9292007750000001,0.9291429725000001,0.68445575,0.8026102249999999,0.8025579275,0.58117425
1859.091,0.8664953,0.8664252,0.6312246,0.929820065,0.92974646,0.68278583,0.8031705349999999,0.80310394,0.57966337
1959.596,0.8670483,0.8669651,0.63005924,0.9304007150000001,0.9303133550000001,0.6815622020000001,0.8036958849999999,0.803616845,0.578556278
